Name,Position,Price number,Points total,Team
E. Ünal,FWD,3.4,30,Bournemouth
Y. Sugawara,DEF,2.4,30,Southampton
R. James,DEF,4.8,30,Chelsea
P. Daka,FWD,2.6,30,Leicester City
F. Jørgensen,GK,2.9,30,Chelsea
J. Stones,DEF,4.6,29,Manchester City
N. Aké,DEF,4.4,29,Manchester City
M. Asensio,FWD,5,29,Aston Villa
I. Sangaré,MID,3,29,Nottingham Forest
W. Smallbone,MID,2.9,29,Southampton
D. O'Shea,DEF,2.3,29,Ipswich Town
J. Greaves,DEF,2.2,29,Ipswich Town
M. Lewis-Skelly,MID,2.6,29,Arsenal
L. Miley,MID,2.7,29,Newcastle United
R. Sessegnon,DEF,3.5,28,Fulham
J. Quansah,DEF,3.1,28,Liverpool
N. O'Reilly,MID,3,28,Manchester City
J. Ward-Prowse,MID,4.2,27,West Ham United
V. Kristiansen,DEF,2.4,27,Leicester City
M. van de Ven,DEF,3.4,27,Tottenham Hotspur
C. Bradley,DEF,3.3,27,Liverpool
R. Lavia,MID,2.9,27,Chelsea
N. Füllkrug,FWD,4.8,26,West Ham United
B. Davies,DEF,3,26,Tottenham Hotspur
R. Manning,DEF,2.3,26,Southampton
L. Woolfenden,DEF,2.4,26,Ipswich Town
T. Cairney,MID,2.9,25,Fulham
O. Zinchenko,DEF,3.9,25,Arsenal
M. Munetsi,MID,2.7,25,Wolverhampton Wanderers
C. Doucouré,MID,3,25,Crystal Palace
E. Ferguson,FWD,3.6,25,West Ham United
T. Iroegbunam,MID,2.5,25,Everton
N. Clyne,DEF,2.6,24,Crystal Palace
R. Nelson,FWD,2.6,24,Fulham
O. Skipp,MID,2.4,24,Leicester City
M. O'Riley,MID,3.1,24,Brighton and Hove Albion
J. Hill,DEF,2.2,24,Bournemouth
A. Kinsky,GK,2.5,24,Tottenham Hotspur
W. Osula,FWD,3.6,24,Newcastle United
A. Lallana,MID,2.7,23,Southampton
F. Forster,GK,2.8,23,Tottenham Hotspur
N. Broadhead,FWD,2.4,23,Ipswich Town
Richarlison,FWD,5.3,23,Tottenham Hotspur
