Position,Names,Values,Points
GK (1),R. Sánchez,3.40,58.0
DEF (3),"J. van Hecke, D. Muñoz, N. Milenkovic","2.30, 3.10, 2.70","50.0, 31.0, 46.0"
MID (4),"C. Palmer, B. Saka, L. Cook, F. Buonanotte","5.80, 5.80, 4.00, 3.10","83.0, 84.0, 45.0, 49.0"
FWD (3),"E. Haaland, M. Salah, B. Mbeumo","8.50, 7.20, 4.00","84.0, 101.0, 74.0"
Total,,49.90,705.0
Formation,3-4-3,,
