Position,Names,Values,Points
GK (1),M. Sels,3.20,139.0
DEF (5),"T. Alexander-Arnold, D. Muñoz, G. Magalhães, N. Milenkovic, O. Aina","5.20, 2.70, 4.30, 2.70, 2.40","141.0, 137.0, 122.0, 120.0, 115.0"
MID (3),"B. Fernandes, C. Palmer, J. Kluivert","6.40, 5.80, 2.70","169.0, 153.0, 142.0"
FWD (2),"M. Salah, A. Isak","7.20, 5.10","243.0, 167.0"
Total,,47.70,1648.0
Formation,5-3-2,,
