Position,Names,Values,Points
GK (1),D. Henderson,2.80,122.0
DEF (5),"N. Milenkovic, D. Muñoz, G. Magalhães, V. van Dijk, T. Alexander-Arnold","2.70, 2.70, 4.30, 5.10, 5.20","120.0, 137.0, 122.0, 113.0, 141.0"
MID (3),"B. Fernandes, C. Palmer, J. Kluivert","6.40, 5.80, 2.70","169.0, 153.0, 142.0"
FWD (2),"M. Salah, A. Isak","7.20, 5.10","243.0, 167.0"
Total,,50.00,1629.0
Formation,5-3-2,,
