Position,Names,Values,Points
GK (1),M. Sels,3.20,139.0
DEF (3),"T. Alexander-Arnold, D. Muñoz, G. Magalhães","5.20, 2.70, 4.30","141.0, 137.0, 122.0"
MID (5),"B. Fernandes, C. Palmer, J. Kluivert, K. Mitoma, M. Damsgaard","6.40, 5.80, 2.70, 3.60, 3.70","169.0, 153.0, 142.0, 124.0, 122.0"
FWD (2),"M. Salah, A. Isak","7.20, 5.10","243.0, 167.0"
Total,,49.90,1659.0
Formation,3-5-2,,
