Position,Names,Values,Points
GK (1),M. Sels,3.20,139.0
DEF (3),"N. Milenkovic, D. Muñoz, T. Alexander-Arnold","2.70, 2.70, 5.20","120.0, 137.0, 141.0"
MID (5),"B. Fernandes, C. Palmer, J. Kluivert, J. Maddison, A. Iwobi","6.40, 5.80, 2.70, 5.20, 3.50","169.0, 153.0, 142.0, 112.0, 119.0"
FWD (2),"M. Salah, A. Isak","7.20, 5.10","243.0, 167.0"
Total,,49.70,1642.0
Formation,3-5-2,,
