Position,Names,Values,Points
GK (1),M. Sels,3.20,139.0
DEF (5),"N. Milenkovic, D. Muñoz, G. Magalhães, V. van Dijk, T. Alexander-Arnold","2.70, 2.70, 4.30, 5.10, 5.20","120.0, 137.0, 122.0, 113.0, 141.0"
MID (4),"B. Fernandes, C. Palmer, J. Kluivert, A. Iwobi","6.40, 5.80, 2.70, 3.50","169.0, 153.0, 142.0, 119.0"
FWD (1),M. Salah,7.20,243.0
Total,,48.80,1598.0
Formation,5-4-1,,
