Position,Names,Values,Points
GK (1),M. Sels,3.20,139.0
DEF (4),"N. Milenkovic, D. Muñoz, G. Magalhães, T. Alexander-Arnold","2.70, 2.70, 4.30, 5.20","120.0, 137.0, 122.0, 141.0"
MID (5),"B. Fernandes, C. Palmer, J. Kluivert, J. Maddison, A. Iwobi","6.40, 5.80, 2.70, 5.20, 3.50","169.0, 153.0, 142.0, 112.0, 119.0"
FWD (1),M. Salah,7.20,243.0
Total,,48.90,1597.0
Formation,4-5-1,,
