Position,Names,Values,Points
GK (1),V. van Dijk,3.20,139.0
DEF (4),"L. Díaz, J. Bowen, J. Maddison, D. McNeil","5.20, 2.70, 4.30, 2.70","141.0, 137.0, 122.0, 120.0"
MID (3),"M. Salah, N. Jackson, O. Watkins","6.40, 5.80, 2.70","169.0, 153.0, 142.0"
FWD (3),"E. Haaland, B. Mbeumo, B. Saka","7.20, 5.10, 3.50","243.0, 167.0, 158.0"
Total,,48.80,1691.0
Formation,4-3-3,,
