Position,Names,Values,Points
GK (1),M. Sels,3.20,139.0
DEF (3),"T. Alexander-Arnold, D. Muñoz, G. Magalhães","5.20, 2.70, 4.30","141.0, 137.0, 122.0"
MID (4),"B. Fernandes, C. Palmer, J. Kluivert, K. Mitoma","6.40, 5.80, 2.70, 3.60","169.0, 153.0, 142.0, 124.0"
FWD (3),"M. Salah, A. Isak, C. Wood","7.20, 5.10, 3.50","243.0, 167.0, 158.0"
Total,,49.70,1695.0
Formation,3-4-3,,
