Position,Names,Values,Points
GK (1),M. Sels,3.20,139.0
DEF (3),"N. Milenkovic, G. Magalhães, T. Alexander-Arnold","2.70, 4.30, 5.20","120.0, 122.0, 141.0"
MID (4),"B. Fernandes, C. Palmer, J. Kluivert, A. Iwobi","6.40, 5.80, 2.70, 3.50","169.0, 153.0, 142.0, 119.0"
FWD (3),"C. Wood, M. Salah, A. Isak","3.50, 7.20, 5.10","158.0, 243.0, 167.0"
Total,,49.60,1673.0
Formation,3-4-3,,
