Position,Names,Values,Points
GK (1),M. Sels,3.20,139.0
DEF (4),"T. Alexander-Arnold, D. Muñoz, G. Magalhães, N. Milenkovic","5.20, 2.70, 4.30, 2.70","141.0, 137.0, 122.0, 120.0"
MID (5),"B. Fernandes, C. Palmer, J. Kluivert, K. Mitoma, M. Damsgaard","6.40, 5.80, 2.70, 3.60, 3.70","169.0, 153.0, 142.0, 124.0, 122.0"
FWD (1),M. Salah,7.20,243.0
Total,,47.50,1612.0
Formation,4-5-1,,
